id,c,v,w,interval,updated,state,age,hit_count
7,77.0,15.0,52.0,"(51.0, 103.0)",False,0,2,0
7,116.69,23.23,35.08,"(99.15, 134.23)",True,0,1,2
7,150.36,28.41,31.52,"(134.60000000000002, 166.12)",True,0,1,4
7,183.64,30.25,32.37,"(167.45499999999998, 199.825)",True,1,1,5
7,218.41,31.66,34.4,"(201.21, 235.60999999999999)",True,1,1,6
7,251.04,31.93,37.21,"(232.435, 269.645)",True,1,1,7
7,286.59,32.92,37.56,"(267.80999999999995, 305.37)",True,1,1,8
7,315.53,31.84,39.94,"(295.55999999999995, 335.5)",True,1,1,9
7,380.78,32.63,39.94,"(360.80999999999995, 400.75)",False,1,3,9
7,455.02,37.12,39.94,"(435.04999999999995, 474.99)",False,1,5,9
